"","Speaker","Listener","Count","Dialogues","dialouge_lengths"
"18","HERMIONE","BELLATRIX",2,"I Do not know whatyou are talking about.|I told you. I Do not know whatyou are talking --",89
"19","HARRY","OLLIVANDER",12,"Hello, sir.|Mr. Ollivander, I need to ask you a few questions.|Can you identify these, sir?|And this?|Was? Is not it still?|You talk about wands likethey have got feelings. Can think.|What do you know about the Deathly Hallows, sir?|But you, sir? Do you believe they exist?|You are lying. You know one exists and you told him about it. You told him about the Elder Wand and where to go looking for it.|He has found it, sir.|That  all, sir.We will leave you to get some rest now.|Then I guess I will just have to kill him before he finds me, sir.",545
"20","OLLIVANDER","RON",1,"There  no way out. We havetried everything.",43
"21","HARRY","MIRROR",1,"Help us.",8
"22","RON","WORMTAIL",1,"Let her go! Let her go!",23
"23","WORMTAIL","RON",1,"Shut it! You. Goblin. Come with me.",35
"24","HARRY","DOBBY",5,"Dobby. What are you doing here?|Do you mean to say you can Apparate in and out of here? And take us with you?|Right. Dobby, I want you to take Luna and Mr. Ollivander to --|Dobby  no |It  okay  Here  Just hold on, Dobby  I will fix you -- Hermione -- your bag -- you must have something -- Essence of Dittany -- something  Hermione! Help me!",341
"25","DOBBY","HARRY",5,"Dobby has come to rescue Harry Potter, of course.|Of course. I am an elf.|Meet me at the top of the stairs in ten seconds.|Who gets his wand?|Such a beautiful night  to be with friends. Dobby is happy to be with his friend  Harry Potter ",237
"26","RON","DOBBY",1,"Shell Cottage on the outskirts of Tinworth.",43
"27","LUNA","DOBBY",1,"Wheneveryou are ready, sir.",27
"28","DOBBY","LUNA",1,"Like her very much.",19
"29","BELLATRIX","GRIPHOOK",4,"Well?|Perhaps it just walked out on its own then.|Liar! You Can not deceive me!|Consider yourself lucky, Goblin. The same will not be said for this one.",152
"30","GRIPHOOK","BELLATRIX",2,"I left Gringotts employ many weeks ago, but when I was last in your vault, the sword was there.|There is no place safer than Gringotts, Madam LeStrange.",152
"31","RON","BELLATRIX",3,"Like hell!|Expelliarmus!|All right!",35
"32","HARRY","LUCIUS",2,"Stupefy!|Stupefy!",17
"33","BELLATRIX","HARRY",3,"Stop or she dies!|Drop your wands.|You dirty little monkey! You could have killed me!",85
"34","BELLATRIX","RON",1,"I said drop them!",17
"35","DOBBY","BELLATRIX",2,"Dobby meant only to maim or seriously injure, not kill.|Dobby has no master! Dobby is a free elf, and Dobby has come to save Harry Potter and his friends!",154
"36","BELLATRIX","DOBBY",1,"How dare you take a witch  wand. How dare you defy your masters.",64
"37","HARRY","BELLATRIX",1,"Give the Dark Lord our regards.",31
"38","BILL","RON",1,"Fleur  seeing to Ollivander. Anyone else need tending --",56
"39","LUNA","BILL",2,"It  beautiful here.|Muggles think these keep evil away. But they are wrong ",75
"40","BILL","LUNA",1,"It was our Aunt . We used to come here as kids. The Order uses it now as a safe house -- what  left of us, at least.",116
"41","HARRY","BILL",3,"I need to talk to the goblin.|In the morning.|He will be leaving too.",69
"42","HARRY","GRIPHOOK",20,"How are you?|You probably Do not remember --|Yes.|Why did you leave Gringotts?|I need to get inside Gringotts, into one of the vaults.|Alone, yes. With you, no.|It  complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?|The sword presented itself to us in a moment of need. We did not steal it.|And she never suspected?|And in Madam Lestrange  vault as well?|I have gold. Lots of it.|Then what?|All right.|You can give that to Hermione to hold, all right, Griphook?|How long before they come after us?|What is that, Griphook?|Griphook! What is that!|That  it. Up there.|We have a deal, Griphook. |Griphook!  Griphook!",649
"43","GRIPHOOK","HARRY",20,"Alive.|that I showed you to your vault the first time you visited Gringotts? Even amongst goblins, you are famous, Harry Potter.|You buried the elf. I saw you.|And brought me here.|You are a very unusual wizard.|Soon the Death Eaters will control it. That was unacceptable to me.|It is impossible.|How did you come by this sword?|It  complicated.|There is a sword in Madam Lestrange  vault identical to this one, but it is a fake. It was placed there this past summer.|The replica is very convincing. Only a goblin would recognize that this is the true Sword of Gryffindor.|Perhaps.|I have no interest in gold.|That is my price.|I have your word, Harry Potter, that you will give me the Sword of Gryffindor if I help you?|Time will tell.|The Thief  Downfall. Washes away all enchantments. Can be deadly.|We will be crushed! Hurry!|I said I had get you in.  I never said anything about getting you out. |Thieves!  Help!  Thieves! ",929
"44","RON","GRIPHOOK",6,"Thenyou are on our side.|Who put it there? The fake.|Hey. Easy.|What do you mean?|You Do not say. Just out of interest  is there
any other way out of here?|Foul little git.  Least We havegot Bogrod",197
"45","GRIPHOOK","RON",8,"This is a wizard  war. I take no side.|It was not my place to ask, nor did I desire to. There are more than a few curious things in the vaults at Gringotts.|She gives us away and we might as well use that sword to slit our own throats. Understand?|They know!|They know she  an imposter!they have been warned!|I should have known --|No.|Well done.",346
"46","HARRY","RON",26,"I am still working on that part.|I will know. I Can not explain. It  like they sing to me.|Would not know you if I did not know you.|Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it.|Something like that. I Do not know. He died before I ever got to use it. The thing is |You will think I am mental, but more than once, when I have looked into it -- I think I have seen Dumbledore.|C amon. Let  do it.|Come on! |We are dropping!|He  angry.  But he  scared too.  He  going to make sure the other Horcruxes are safe. |I reckon he will do anything to stop us from finding the rest.  There  more:  one of them  at Hogwarts. |We will go to Hogsmeade.  To Honeydukes.  Take the secret passage in the cellar.|There  something wrong with him.  In the past, I could always follow his thoughts.  Now everything feels disconnected. |No.  It  more like he  wounded.  If anything, he feels more dangerous.|What are you saying? |Here! Take one!|Wait! What about Malfoy and Blaise!|Ron, you once asked me if I THOUGHT HHE FELT IT -- vOLDEMORT -- WHEN WE DESTORY A hhorcrux, when we destory a piece of his soul. |He does. |It is the snake. Shhe is the last one. The last Horcrux. |No. He will keep her close. |I know whhere he is. |I am going there now. |It is meant to be. |It answers to me.|Well, it was not boring, was it?",1368
"47","FLEUR","HARRY",1,"He  too weak.",13
"48","OLLIVANDER","HARRY",10,"Forgive me if I Do not get up.|Anything, my boy, anything.|Walnut and dragon heartstring. Twelve and three quarter inches. Unyielding. This belongs to Bellatrix Lestrange.|Hawthorn. Unicorn hair. Ten inches. Reasonably pliant. This was the wand of Draco Malfoy.|Perhaps not -- if you won it from him. I sense its allegiance has changed.|The wand chooses the wizard, Mr. Potter. That much has always been clear to those of us who have studied wandlore.|There are rumored to be three: The Elder Wand, the Resurrection Stone and the Invisibility Cloak. It is said that to possess them all is to make oneself the Master of Death. But few truly believe such objects exist --|I see no reason to put stock in an old wives tale --|He tortured me! Besides, I conveyed only rumors. There  no guarantee he will find it --|He  after you, Mr. Potter. If it  true, what you say, that he has the Elder Wand, I am afraid you really Do not stand a chance.",938
